Name,Country,Time,Place,Year
Maru TEFERI,ISR,02:21:06.000,73,2016
Remigijus KANCYS,LTU,02:21:10.000,74,2016
Christian KREIENBUHL,SUI,02:21:13.000,75,2016
Mohamed HREZI,LBA,02:21:17.000,76,2016
Solonei DA SILVA,BRA,02:22:05.000,77,2016
Andres RUIZ,COL,02:22:09.000,78,2016
Jackson KIPROP,UGA,02:22:09.000,79,2016
Scott WESTCOTT,AUS,02:22:19.000,80,2016
Guor MARIAL,SSD,02:22:45.000,81,2016
Uladzislau PRAMAU,BLR,02:22:48.000,82,2016
Nitendra SINGH,IND,02:22:52.000,83,2016
Miguel Angel ALMACHI,ECU,02:23:00.000,84,2016
Ilya TIAPKIN,KGZ,02:23:19.000,85,2016
Gabor JOZSA,HUN,02:23:22.000,86,2016
Gerald GIRALDO,COL,02:23:48.000,87,2016
Luis Ariel MOLINA,ARG,02:23:55.000,88,2016
Yonas KINDE,XXB,02:24:08.000,89,2016
Bujie DUO,CHN,02:24:22.000,90,2016
Ser-Od BAT-OCHIR,MGL,02:24:26.000,91,2016
Jordan CHIPANGAMA,ZAM,02:24:58.000,92,2016
Hisanori KITAJIMA,JPN,02:25:11.000,93,2016
Lebenya NKOKA,LES,02:25:13.000,94,2016
Renxue ZHU,CHN,02:25:31.000,95,2016
Sibusiso NZIMA,RSA,02:25:33.000,96,2016
Daniel ESTRADA,CHI,02:25:33.000,97,2016
Ambroise UWIRAGIYE,RWA,02:25:57.000,98,2016
Chin-Ping HO,TPE,02:26:00.000,99,2016
Mikhail KRASILOV,KAZ,02:26:11.000,100,2016
David CARVER,MRI,02:26:16.000,101,2016
Mick CLOHISSEY,IRL,02:26:34.000,102,2016
Hakim SADI,ALG,02:26:47.000,103,2016
Roman PRODIUS,MDA,02:27:01.000,104,2016
Luis Alberto ORTA,VEN,02:27:05.000,105,2016
Gantulga DAMBADARJAA,MGL,02:27:42.000,106,2016
Enzo YANEZ,CHI,02:27:47.000,107,2016
Gaspar CSERE,HUN,02:28:03.000,108,2016
Martin Esteban CUESTAS,URU,02:28:10.000,109,2016
Valdas DOPOLSKAS,LTU,02:28:21.000,110,2016
Fabiano JOSEPH,TAN,02:28:31.000,111,2016
Kamongwa Salukombo MAKOROBONDO,COD,02:28:54.000,112,2016
Derek HAWKINS,GBR,02:29:24.000,113,2016
Celestin NIHORIMBERE,BDI,02:29:38.000,114,2016
Hristoforos MEROUSIS,GRE,02:29:39.000,115,2016
Anton KOSMAC,SLO,02:29:48.000,116,2016
Jose Amado GARCIA,GUA,02:30:11.000,117,2016
Andjelko RISTICEVIC,SRB,02:30:17.000,118,2016
Ricardo RAMOS,MEX,02:30:20.000,119,2016
Tasama MOOGAS,ISR,02:30:30.000,120,2016
Ageze GUADIE,ISR,02:30:45.000,121,2016
Rui Pedro SILVA,POR,02:30:52.000,122,2016
Segundo JAMI,ECU,02:31:07.000,123,2016
Diego COLORADO,COL,02:31:20.000,124,2016
Bekir KARAYEL,TUR,02:31:27.000,125,2016
Nicolae-Alexandru SOARE,ROU,02:31:53.000,126,2016
Yared SHEGUMO,POL,02:31:54.000,127,2016
Mohammadjafar MORADI,IRI,02:31:58.000,128,2016
Byambajav TSEVEENRAVDAN,MGL,02:36:14.000,129,2016
Myeongjun SON,KOR,02:36:21.000,130,2016
Mikhailis KALOMOIRIS,GRE,02:37:03.000,131,2016
Boonthung SRISUNG,THA,02:37:46.000,132,2016
Ricardo RIBAS,POR,02:38:29.000,133,2016
Jorge CASTELBLANCO,PAN,02:39:25.000,134,2016
Derlys AYALA,PAR,02:39:40.000,135,2016
Federico BRUNO,ARG,02:40:05.000,136,2016
Jungsub SHIM,KOR,02:42:42.000,137,2016
Kuniaki TAKIZAKI,CAM,02:45:55.000,138,2016
Methkal ABU DRAIS,JOR,02:46:18.000,139,2016
Eliud KIPCHOGE,KEN,2:08:38,1,2020
Abdi NAGEEYE,NED,2:09:58,2,2020
Bashir ABDI,BEL,2:10:00,3,2020
Lawrence CHERONO,KEN,2:10:02,4,2020
Ayad LAMDASSEM,ESP,2:10:16,5,2020
Suguru OSAKO,JPN,2:10:41,6,2020
Alphonce Felix SIMBU,TAN,2:11:35,7,2020
Galen RUPP,USA,2:11:41,8,2020
Othmane EL GOUMRI,MAR,2:11:58,9,2020
Koen NAERT,BEL,2:12:13,10,2020
Mohamed Reda EL AARABY,MAR,2:12:22,11,2020
Nicolas NAVARRO,FRA,2:12:50,12,2020
Maru TEFERI,ISR,2:13:02,13,2020
Goitom KIFLE,ERI,2:13:22,14,2020
Jeison Alexander SUAREZ,COL,2:13:29,15,2020
Tachlowini GABRIYESOS,XXB,2:14:02,16,2020
Morhad AMDOUNI,FRA,2:14:33,17,2020
Hamza SAHLI,MAR,2:14:48,18,2020
Shaohui YANG,CHN,2:14:58,19,2020
Eyob GHEBREHIWET FANIEL,ITA,2:15:11,20,2020
Daniel MATEO,ESP,2:15:21,21,2020
Yohanes GHEBREGERGIS,ERI,2:15:34,22,2020
Abdi Hakin ULAD,DEN,2:15:50,23,2020
Liam ADAMS,AUS,2:15:51,24,2020
Richard RINGER,GER,2:16:08,25,2020
Tiidrek NURME,EST,2:16:16,26,2020
Girmaw AMARE,ISR,2:16:17,27,2020
Jacob RILEY,USA,2:16:26,28,2020
Amanal PETROS,GER,2:16:33,29,2020
Eulalio MUNOZ,ARG,2:16:35,30,2020
Jianhua PENG,CHN,2:16:39,31,2020
Javier GUERRA,ESP,2:16:42,32,2020
Elroy GELANT,RSA,2:16:43,33,2020
Oqbe Kibrom RUESOM,ERI,2:16:57,34,2020
Zane ROBERTSON,NZL,2:17:04,35,2020
Haimro ALAME,ISR,2:17:17,36,2020
Adam NOWICKI,POL,2:17:19,37,2020
Olivier IRABARUTA,BDI,2:17:44,38,2020
Sondre Nordstad MOEN,NOR,2:17:59,39,2020
Abdi ABDIRAHMAN,USA,2:18:27,40,2020
Tomas Hilifa RAINHOLD,NAM,2:18:28,41,2020
Derlys AYALA,PAR,2:18:34,42,2020
Fred MUSOBO,UGA,2:18:39,43,2020
Sidi-Hassan CHAHDI,FRA,2:18:40,44,2020
Ben PREISNER,CAN,2:19:27,45,2020
Yassine EL FATHAOUI,ITA,2:19:44,46,2020
Trevor HOFBAUER,CAN,2:19:57,47,2020
Jungsub SHIM,KOR,2:20:36,48,2020
Hendrik PFEIFFER,GER,2:20:43,49,2020
Filex CHEMONGESI,UGA,2:20:53,50,2020
Yavuz AGRALI,TUR,2:21:00,51,2020
Joaquin ARBE,ARG,2:21:15,52,2020
Christopher THOMPSON,GBR,2:21:29,53,2020
Byambajav TSEVEENRAVDAN,MGL,2:21:32,54,2020
Jose Luis SANTANA MARIN,MEX,2:21:32,55,2020
Guojian DONG,CHN,2:21:35,56,2020
Kevin SEAWARD,IRL,2:21:45,57,2020
Dieter KERSTEN,BEL,2:22:06,58,2020
Cristhian PACHECO,PER,2:22:12,59,2020
Peter HERZOG,AUT,2:22:15,60,2020
Shogo NAKAMURA,JPN,2:22:23,61,2020
Arkadiusz GARDZIELEWSKI,POL,2:22:50,62,2020
Malcolm HICKS,NZL,2:23:12,63,2020
Juan PACHECO,MEX,2:23:41,64,2020
Brett ROBINSON,AUS,2:24:04,65,2020
Khoarahlane SEUTLOALI,LES,2:25:03,66,2020
Roman FOSTI,EST,2:25:37,67,2020
Paulo Roberto PAULA,BRA,2:26:08,68,2020
Thijs NIJHUIS,DEN,2:26:59,69,2020
Paul POLLOCK,IRL,2:27:48,70,2020
Cameron LEVINS,CAN,2:28:43,71,2020
Yuma HATTORI,JPN,2:30:08,72,2020
Jesus Arturo ESPARZA,MEX,2:31:51,73,2020
Jorge CASTELBLANCO,PAN,2:33:22,74,2020
Ivan ZARCO ALVAREZ,HON,2:44:36,75,2020
Tamirat TOLA,ETH,2:06:26,1,2024
Bashir ABDI,BEL,2:06:47,2,2024
Benson KIPRUTO,KEN,2:07:00,3,2024
Emile CAIRESS,GBR,2:07:29,4,2024
Deresa GELETA,ETH,2:07:31,5,2024
Akira AKASAKI,JPN,2:07:32,6,2024
Tebello RAMAKONGOANA,LES,2:07:58,7,2024
Conner MANTZ,USA,2:08:12,8,2024
Clayton YOUNG,USA,2:08:44,9,2024
Samsom AMARE,ERI,2:08:56,10,2024
Elroy GELANT,RSA,2:09:07,11,2024
Richard RINGER,GER,2:09:18,12,2024
Suguru OSAKO,JPN,2:09:25,13,2024
Ibrahim HASSAN,DJI,2:09:31,14,2024
Samuel FITWI SIBHATU,GER,2:09:50,15,2024
Nicolas NAVARRO,FRA,2:09:56,16,2024
Alphonce Felix SIMBU,TAN,2:10:03,17,2024
Othmane EL GOUMRI,MAR,2:10:06,18,2024
Isaac MPOFU,ZIM,2:10:09,19,2024
Sidi-Hassan CHAHDI,FRA,2:10:09,20,2024
Alexander MUNYAO,KEN,2:10:31,21,2024
Michael SOMERS,BEL,2:10:32,22,2024
Naoki KOYAMA,JPN,2:10:33,23,2024
Patrick TIERNAN,AUS,2:10:34,24,2024
Yemaneberhan CRIPPA,ITA,2:10:36,25,2024
Maru TEFERI,ISR,2:10:42,26,2024
Stephen MOKOKA,RSA,2:10:59,27,2024
Suldan HASSAN,SWE,2:11:21,28,2024
Il Ryong HAN,PRK,2:11:21,29,2024
Matthias KYBURZ,SUI,2:11:32,30,2024
Gashau AYALE,ISR,2:11:36,31,2024
Sondre Nordstad MOEN,NOR,2:11:39,32,2024
Yaseen ABDALLA,SUD,2:11:41,33,2024
Ibrahim CHAKIR,ESP,2:11:44,34,2024
Zouhair TALBI,MAR,2:11:51,35,2024
Cameron LEVINS,CAN,2:11:56,36,2024
Victor KIPLANGAT,UGA,2:11:59,37,2024
Tadesse ABRAHAM,SUI,2:12:22,38,2024
Kenenisa BEKELE,ETH,2:12:24,39,2024
Xiangdong WU,CHN,2:12:34,40,2024
Yago ROJO,ESP,2:12:43,41,2024
Tachlowini GABRIYESOS,XXB,2:12:47,42,2024
Eyob GHEBREHIWET FANIEL,ITA,2:12:50,43,2024
Girmaw AMARE,ISR,2:12:51,44,2024
Andrew BUCHANAN,AUS,2:12:58,45,2024
Philip SESEMANN,GBR,2:13:08,46,2024
Rory LINKLETTER,CAN,2:13:09,47,2024
Samuel BARATA,POR,2:13:23,48,2024
Liam ADAMS,AUS,2:13:33,49,2024
Felix BOUR,FRA,2:13:46,50,2024
Daniele MEUCCI,ITA,2:14:02,51,2024
Zerei Kbrom MEZNGI,NOR,2:14:14,52,2024
Carlos DIAZ,CHI,2:14:25,53,2024
Henok TESFAY,ERI,2:14:31,54,2024
Shaohui YANG,CHN,2:14:48,55,2024
Samuel FREIRE,CPV,2:15:05,56,2024
Mahamed MAHAMED,GBR,2:15:19,57,2024
Khalid CHOUKOUD,NED,2:15:25,58,2024
Hugo CATRILEO,CHI,2:15:44,59,2024
Hector GARIBAY,BOL,2:15:54,60,2024
Koen NAERT,BEL,2:16:33,61,2024
Andrew Rotich KWEMOI,UGA,2:17:28,62,2024
Leonard Essau KORIR,USA,2:18:45,63,2024
Berhane TESFAY,ERI,2:18:50,64,2024
Moath ALKHAWALDEH,JOR,2:20:01,65,2024
Alberto GONZALEZ MINDEZ,GUA,2:22:12,66,2024
Jie HE,CHN,2:22:31,67,2024
Tariku NOVALES,ESP,2:25:50,68,2024
Dario IVANOVSKI,MKD,2:28:15,69,2024
Valentin BETOUDJI,CHA,2:32:11,70,2024
Ser-Od BAT-OCHIR,MGL,2:42:33,71,2024
